variable,years,short_desc,long_desc,sources,category,plaintext_cite,bibtex_cite,plaintext_cite2,bibtex_cite2,plaintext_cite3,bibtex_cite3
unusable_seats_10yr_per,1979-2010,Pct. of seats unusable for other measures: 10-yr. moving average,"Percent of seats in this year and the three years prior to that are 'unuseable' for the Holbrook and Van Dunk measure. Ten-year moving average. 'Not useable' includes such things as missing vote returns (but not in uncontested elections in states that don’t put such elections on the ballot), missing party codes, or elections that only report the winner and information about the existence of other candidates is unknown.","Ranney, Austin. 1976. 'Parties in State Politics.' In Politics in the American States, 3rd ed., edited by Herbert Jacob and Kenneth Vines. Boston, MA: Little, Brown & Co.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Notes: Descriptive statistics for variable: 89.0% of state-years have 0% unusable seats, 98.7% have 5% or less unusable seats, 99.2% of state-years have 10% or less unusable seats, eight state-years have between 10 and 20% unusable seats, and eight more state-years have more than 20% unusable seats. The worst state-year has 49.8% of its seats with missing information.",elections,NA,NA,NA,NA,NA,NA
hvd_4yr,1973-2010,Holbrook and Van Dunk competitiveness measure: 4-yr. moving average,"Measure of electoral competitiveness by Holbrook and Van Dunk that is 100 minus average pct. of votes winning candidate received, average winning margin, average pct. uncontested seats, and average pct. safe seats over 4-year moving average.","Holbrook, Thomas M., and Emily Van Dunk. 'Electoral Competition in the American States.' The American Political Science Review 87.4 (1993): 955– 62.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Notes: For the Holbrook and Van Dunk data, the data were first worked on with the state-chamber-year as the unit of analysis. Running averages of the four dimensions were created that were weighted by the number of seats up in each chamber (running averages of four, six, eight and ten years). The four dimensions were then averaged (and subtracted from '100') to make the Holbrook and Van Dunk indicator for a chamber-year. The values from the two chambers were then averaged.",elections,NA,NA,NA,NA,NA,NA
hvd_6yr,1975-2010,Holbrook and Van Dunk competitiveness measure: 6-yr. moving average,"Measure of electoral competitiveness by Holbrook and Van Dunk that is 100 minus average pct. of votes winning candidate received, average winning margin, average pct. uncontested seats, and average pct. safe seats over 6-year moving average.","Holbrook, Thomas M., and Emily Van Dunk. 'Electoral Competition in the American States.' The American Political Science Review 87.4 (1993): 955– 62.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Notes: For the Holbrook and Van Dunk data, the data were first worked on with the state-chamber-year as the unit of analysis. Running averages of the four dimensions were created that were weighted by the number of seats up in each chamber (running averages of four, six, eight and ten years). The four dimensions were then averaged (and subtracted from '100') to make the Holbrook and Van Dunk indicator for a chamber-year. The values from the two chambers were then averaged.",elections,NA,NA,NA,NA,NA,NA
hvd_8yr,1977-2010,Holbrook and Van Dunk competitiveness measure: 8-yr. moving average,"Measure of electoral competitiveness by Holbrook and Van Dunk that is 100 minus average pct. of votes winning candidate received, average winning margin, average pct. uncontested seats, and average pct. safe seats over 8-year moving average.","Holbrook, Thomas M., and Emily Van Dunk. 'Electoral Competition in the American States.' The American Political Science Review 87.4 (1993): 955– 62.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Notes: For the Holbrook and Van Dunk data, the data were first worked on with the state-chamber-year as the unit of analysis. Running averages of the four dimensions were created that were weighted by the number of seats up in each chamber (running averages of four, six, eight and ten years). The four dimensions were then averaged (and subtracted from '100') to make the Holbrook and Van Dunk indicator for a chamber-year. The values from the two chambers were then averaged.",elections,NA,NA,NA,NA,NA,NA
hvd_10yr,1979-2010,Holbrook and Van Dunk competitiveness measure: 10-yr. moving average,"Measure of electoral competitiveness by Holbrook and Van Dunk that is 100 minus average pct. of votes winning candidate received, average winning margin, average pct. uncontested seats, and average pct. safe seats over 10-year moving average.","Holbrook, Thomas M., and Emily Van Dunk. 'Electoral Competition in the American States.' The American Political Science Review 87.4 (1993): 955– 62.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1
Notes: For the Holbrook and Van Dunk data, the data were first worked on with the state-chamber-year as the unit of analysis. Running averages of the four dimensions were created that were weighted by the number of seats up in each chamber (running averages of four, six, eight and ten years). The four dimensions were then averaged (and subtracted from '100') to make the Holbrook and Van Dunk indicator for a chamber-year. The values from the two chambers were then averaged.",elections,NA,NA,NA,NA,NA,NA
sf_hvd_4yr,1973-2010,Shufeldt and Flavin’s H&VD electoral competitiveness measure: 4-yr. moving average,Shufeldt and Flavin’s four-year Holbrook and Van Dunk measure. Observed for 391 cases.,"Shufeldt, Gregory, and Patrick Flavin. 'Two Distinct Concepts: Party Competition in Government and Electoral Competition in the American States.' State Politics and Policy Quarterly 12.3. (2012):330-342.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1",elections,NA,NA,NA,NA,NA,NA
sf_ranney_4yr,1973-2010,Shufeldt and Flavin’s Ranney electoral competitiveness measure: 4-yr. moving average,Shufeld and Flavin’s four-year folded Ranney Index. Observed for 400 cases.,"Shufeldt, Gregory, and Patrick Flavin. 'Two Distinct Concepts: Party Competition in Government and Electoral Competition in the American States.' State Politics and Policy Quarterly 12.3. (2012):330-342.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1",elections,NA,NA,NA,NA,NA,NA
sf_hvd_8yr,1979-2010,Shufeldt and Flavin’s H&VD electoral competitiveness measure: 8-yr. moving average,Shufeldt and Flavin’s eight-year Holbrook and Van Dunk measure. Observed for 247 cases.,"Shufeldt, Gregory, and Patrick Flavin. 'Two Distinct Concepts: Party Competition in Government and Electoral Competition in the American States.' State Politics and Policy Quarterly 12.3. (2012):330-342.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1",elections,NA,NA,NA,NA,NA,NA
sf_ranney_8yr,1979-2010,Shufeldt and Flavin’s Ranney electoral competitiveness measure: 8-yr. moving average,Shufeld and Flavin’s eight-year folded Ranney Index. Observed for 200 cases.,"Shufeldt, Gregory, and Patrick Flavin. 'Two Distinct Concepts: Party Competition in Government and Electoral Competition in the American States.' State Politics and Policy Quarterly 12.3. (2012):330-342.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1",elections,NA,NA,NA,NA,NA,NA
sf_hvd_10yr,1979-2010,Shufeldt and Flavin’s H&VD electoral competitiveness measure: 10-yr. moving average,Shufeldt and Flavin’s ten-year Holbrook and Van Dunk measure. Observed for 148 cases.,"Shufeldt, Gregory, and Patrick Flavin. 'Two Distinct Concepts: Party Competition in Government and Electoral Competition in the American States.' State Politics and Policy Quarterly 12.3. (2012):330-342.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1",elections,NA,NA,NA,NA,NA,NA
sf_ranney_10yr,1979-2010,Shufeldt and Flavin’s Ranney electoral competitiveness measure: 10-yr. moving average,Shufeld and Flavin’s ten-year folded Ranney Index. Observed for 150 cases.,"Shufeldt, Gregory, and Patrick Flavin. 'Two Distinct Concepts: Party Competition in Government and Electoral Competition in the American States.' State Politics and Policy Quarterly 12.3. (2012):330-342.
Klarner, Carl, 2013, 'Other Scholars’ Competitiveness Measures', https://doi.org/10.7910/DVN/QSDYLH, Harvard Dataverse, V1",elections,NA,NA,NA,NA,NA,NA
overall_fin_reg,1992-2012,Overall campaign finance stringency,An overall index measuring level of stringency in campaign finance regulations,"Kulesza, Christopher; Witko, Christopher; Waltenburg, Eric, 2015, 'State Campaign Finance Regulatory Stringency Index, 1992-2012', https://doi.org/10.7910/DVN/NLDUOY, Harvard Dataverse, V1.",elections,"Kulesza, C., Witko, C. and Waltenburg, E., 2015. State Campaign Finance Regulatory Stringency Index, 1992-2012. Harvard Dataverse, 1.","@article{kulesza2015state,
  title={State Campaign Finance Regulatory Stringency Index, 1992-2012},
  author={Kulesza, Christopher and Witko, Christopher and Waltenburg, Eric},
  journal={Harvard Dataverse},
  volume={1},
  year={2015}
}",NA,NA,NA,NA
disclosure_fin_reg,1992-2012,Campaign finance disclosure stringency,"An index measuring level of stringency in campaign finance disclosure regulation. Coded as the total number of the following provisions enacted: 1) Aggregate expenditure reporting; 2) Aggregate contributions reporting; 3) Itemization of some categories of expenditures; 4) Itemization of some categories of contributions; 5) Itemization of expenditures over $50;
6) Itemization of contributions over
$50; 7) Requirement of final report within one month of an election; and 8) Requirement of reports on at least a quarterly basis.","Kulesza, Christopher; Witko, Christopher; Waltenburg, Eric, 2015, 'State Campaign Finance Regulatory Stringency Index, 1992-2012', https://doi.org/10.7910/DVN/NLDUOY, Harvard Dataverse, V1.",elections,"Kulesza, C., Witko, C. and Waltenburg, E., 2015. State Campaign Finance Regulatory Stringency Index, 1992-2012. Harvard Dataverse, 1.","@article{kulesza2015state,
  title={State Campaign Finance Regulatory Stringency Index, 1992-2012},
  author={Kulesza, Christopher and Witko, Christopher and Waltenburg, Eric},
  journal={Harvard Dataverse},
  volume={1},
  year={2015}
}",NA,NA,NA,NA
public_fin_reg,1992-2012,Public campaign finance stringency,An index measuring level of public campaign financing and stringency of expenditure limit regulations. Coded as the total number of the following provisions enacted: 1) Total expenditure limit; 2) Check-off on tax return form for contribution to public financing; 3) Independent revenue source for public financing; 4) Public financing of statewide campaigns; 5) Public financing of state legislative campaigns; 6) Public financing of political parties; and 7) Equal distribution of public funds between candidates and parties.,"Kulesza, Christopher; Witko, Christopher; Waltenburg, Eric, 2015, 'State Campaign Finance Regulatory Stringency Index, 1992-2012', https://doi.org/10.7910/DVN/NLDUOY, Harvard Dataverse, V1.",elections,"Kulesza, C., Witko, C. and Waltenburg, E., 2015. State Campaign Finance Regulatory Stringency Index, 1992-2012. Harvard Dataverse, 1.","@article{kulesza2015state,
  title={State Campaign Finance Regulatory Stringency Index, 1992-2012},
  author={Kulesza, Christopher and Witko, Christopher and Waltenburg, Eric},
  journal={Harvard Dataverse},
  volume={1},
  year={2015}
}",NA,NA,NA,NA
